"id","run_date","district_id","district_name","catch_daily","catch_cumulative","escapement_daily","escapement_cumulative","in_river_estimate","total_run","created_at"
"333","07-18-2024","togiak","Togiak","22285","226352","12006","106128","0","332480",""
"334","07-21-2024","ugashik","Ugashik","71074","4164573","32022","1670754","0","5835327",""
"335","07-21-2024","egegik","Egegik","95687","4940864","1356","1109406","0","6050270",""
"336","07-21-2024","naknek","Naknek-Kvichak","156907","8647951","25560","9757176","0","18405127",""
"337","07-21-2024","nushagak","Nushagak","59061","11747901","32552","6723626","0","18471527",""
"338","07-21-2024","togiak","Togiak","12136","278176","9492","138132","0","416308",""
"339","07-22-2024","ugashik","Ugashik","42088","4206661","32262","1703016","0","5909677",""
"340","07-22-2024","egegik","Egegik","75156","5016020","2100","1111506","0","6127526",""
"341","07-22-2024","naknek","Naknek-Kvichak","218033","8865984","29988","9787164","0","18653148",""
"342","07-22-2024","nushagak","Nushagak","31697","11779598","32157","6755783","0","18535381",""
"343","07-22-2024","togiak","Togiak","17310","295486","14070","152202","0","447688",""
"344","07-23-2024","ugashik","Ugashik","25781","4232442","25062","1728078","0","5960520",""
"345","07-23-2024","egegik","Egegik","79353","5095373","942","1112448","0","6207821",""
"346","07-23-2024","naknek","Naknek-Kvichak","178307","9044291","39318","9826482","0","18870773",""
"347","07-23-2024","nushagak","Nushagak","27338","11806936","10731","6766514","0","18573450",""
"348","07-23-2024","togiak","Togiak","26881","322367","16032","168234","0","490601",""
"349","07-24-2024","ugashik","Ugashik","14969","4247411","21462","1749540","0","5996951",""
"350","07-24-2024","egegik","Egegik","58294","5153667","1560","1114008","0","6267675",""
"351","07-24-2024","naknek","Naknek-Kvichak","62611","9106902","52524","9879006","0","18985908",""
"352","07-24-2024","nushagak","Nushagak","15124","11822060","12301","6778815","0","18600875",""
"353","07-24-2024","togiak","Togiak","18907","341274","20088","188322","0","529596",""
"354","07-25-2024","ugashik","Ugashik","11534","4258945","10236","1759776","0","6018721",""
"355","07-25-2024","egegik","Egegik","19860","5173527","0","1114008","0","6287535",""
"356","07-25-2024","naknek","Naknek-Kvichak","27311","9134213","37380","9916386","0","19050599",""
"357","07-25-2024","nushagak","Nushagak","10362","11832422","9417","6788232","0","18620654",""
"358","07-25-2024","togiak","Togiak","11779","353053","19308","207630","0","560683",""
"359","06-16-2025","ugashik","Ugashik","9135","9135","0","0","0","9135",""
"360","06-16-2025","egegik","Egegik","38129","57163","0","0","0","57163",""
"361","06-16-2025","naknek","Naknek-Kvichak","5280","5341","0","0","0","5341",""
"362","06-16-2025","nushagak","Nushagak","6378","8528","87299","185982","0","194510",""
"363","06-16-2025","togiak","Togiak","13","13","0","0","0","13",""
"364","06-17-2025","ugashik","Ugashik","22881","32016","0","0","0","32016",""
"365","06-17-2025","egegik","Egegik","64272","121435","1644","1644","0","123079",""
"366","06-17-2025","naknek","Naknek-Kvichak","9201","14542","0","0","0","14542",""
"367","06-17-2025","nushagak","Nushagak","3384","11912","123098","309080","0","320992",""
"368","06-17-2025","togiak","Togiak","386","399","0","0","0","399",""
"369","06-18-2025","ugashik","Ugashik","37047","69063","0","0","0","69063",""
"370","06-18-2025","egegik","Egegik","12552","133987","4962","6606","0","140593",""
"371","06-18-2025","naknek","Naknek-Kvichak","13011","27553","66","66","0","27619",""
"372","06-18-2025","nushagak","Nushagak","3353","15265","84228","393308","0","408573",""
"373","06-18-2025","togiak","Togiak","404","803","0","0","0","803",""
"374","06-19-2025","ugashik","Ugashik","25246","94309","0","0","0","94309",""
